episode,reward
1,-24.8363
2,-12.6192
3,-7.2165
4,-29.2099
5,-11.9488
6,-9.212
7,-15.8086
8,-22.1886
9,-11.8384
10,-2.5316
11,-2.4539
12,-6.8218
13,-4.2006
14,-16.8162
15,-31.3993
16,-20.6494
17,-7.0026
18,-10.0536
19,-2.584
20,-1.0075
21,-5.4973
22,-10.4794
23,-30.8374
24,-45.1402
25,-22.7075
26,-10.5924
27,-0.3409
28,-9.1324
29,-7.1805
30,-10.0074
31,-5.0465
32,-19.9948
33,-14.6815
34,-3.1063
35,-7.3121
36,-8.5608
37,-6.3904
38,-9.6028
39,-10.2474
40,-4.1227
41,-1.3701
42,-4.1067
43,-4.1912
44,-11.7246
45,-8.0718
46,-13.6347
47,-31.6977
48,-27.1929
49,-4.4889
50,-10.2635
51,-13.1911
52,-7.6083
53,-6.1335
54,-9.3402
55,-1.9982
56,-2.0905
57,-5.1268
58,-173.4059
59,-3.9003
60,-2.0777
61,-12.6839
62,-3.6458
63,-8.0961
64,-0.6414
65,-18.4366
66,-8.3633
67,0.6848
68,-18.2488
69,-2.1185
70,-3.8662
71,0.9937
72,0.4527
73,-2.1841
74,-11.5274
75,-4.8438
76,0.6226
77,-9.0232
78,-4.0418
79,-0.3698
80,-0.0853
81,-1.4403
82,1.6731
83,0.3493
84,-6.9334
85,-3.6393
86,-6.8615
87,-4.1245
88,-2.9684
89,-7.9639
90,-6.0219
91,-3.8905
92,-2.5178
93,-12.9385
94,-6.129
95,-18.1516
96,-2.6573
97,-6.8992
98,-12.7916
99,-8.3161
100,-6.7372
101,-1.3284
102,-4.8385
103,-19.8572
104,-1.0941
105,-6.1364
106,-2.0783
107,-3.0722
108,-4.9014
109,-9.6368
110,-5.0836
111,-1.5173
112,-11.0694
113,-1.8205
114,-3.9534
115,-1.461
116,-0.7088
117,0.0413
118,1.058
119,-13.4329
120,-7.6091
121,-3.8178
122,-18.9104
123,-28.2481
124,-6.9342
125,-0.4269
126,-4.9728
127,-2.9917
128,-9.224
129,-7.9955
130,-7.0963
131,-24.4088
132,-8.7408
133,-7.8253
134,1.8177
135,-7.7398
136,0.0237
137,-0.6231
138,-1.8833
139,-3.6726
140,-18.9803
141,-3.1675
142,-0.9177
143,-9.8219
144,-2.4868
145,-69.1523
146,-16.9718
147,-5.9784
148,-16.5644
149,0.0472
150,-15.2147
151,-6.1869
152,-0.5911
153,-10.5578
154,0.6253
155,-4.1733
156,-8.9996
157,-12.2011
158,-0.1744
159,-1.2576
